trial,experiment,hidden_dim,hgnn_dim,num_hgnn_layers,attn_heads,learning_rate,weight_decay,dropout,val_f1,val_loss,test_f1,test_roc_auc,test_accuracy,test_precision,test_recall,duration_min
22,hgnn_trial22_h256_hd32_nl1_ah4_lr1.08e-03_wd1.79e-04_dr30,256,32,1,4,0.0010824018381500957,0.0001788532743297923,0.3,0.9177101967799642,0.21289367114105237,0.8705405499842762,0.9511984545563242,0.8776824034334764,0.9245213002820246,0.8225156817431496,11.31123100121816
37,hgnn_trial37_h128_hd32_nl1_ah8_lr1.01e-03_wd1.05e-04_dr30,128,32,1,8,0.0010127963257331484,0.00010471209213501687,0.3,0.9094638148256665,0.23934712164733085,0.871146941264142,0.944660754338958,0.8744139980191482,0.8944146901300689,0.8490590954110268,8.837009914716084
34,hgnn_trial34_h128_hd32_nl1_ah4_lr1.38e-03_wd9.71e-05_dr10,128,32,1,4,0.001383324997521996,9.70821065800856e-05,0.1,0.9072652096869462,0.24255413739391551,0.8658624600474276,0.9428708704597715,0.87114559260482,0.9028813073394495,0.8317596566523605,6.4240020950635275
33,hgnn_trial33_h128_hd64_nl1_ah1_lr1.91e-03_wd2.21e-05_dr10,128,64,1,1,0.0019095652801045377,2.209652614551385e-05,0.1,0.9015666568134791,0.25958546039092956,0.8555036416105538,0.9351577951051142,0.8611422911852097,0.8917138150827186,0.8221195113898977,5.801087725162506
30,hgnn_trial30_h512_hd64_nl2_ah4_lr1.11e-03_wd6.40e-06_dr40,512,64,2,4,0.0011097554561103106,6.39562037099367e-06,0.4,0.9008464328899637,0.27041152328314166,0.8224319340492461,0.9200174433540591,0.8378672829316606,0.9089673913043478,0.7509409045889732,81.84739737908045
17,hgnn_trial17_h512_hd256_nl2_ah4_lr1.16e-03_wd2.24e-04_dr20,512,256,2,4,0.001161586598924645,0.00022413234378101143,0.2,0.8977338756536897,0.2822890494125105,0.8226505202114959,0.9004582597126206,0.828359194453615,0.8509527170077629,0.7961703532518983,44.22566726207733
50,hgnn_trial50_h512_hd32_nl2_ah1_lr1.06e-03_wd1.85e-06_dr50,512,32,2,1,0.001060276477895886,1.8503766823590147e-06,0.5,0.8973038473189943,0.266971253338685,0.8137191391348161,0.9122995221388577,0.8291185209640145,0.8943121588481924,0.7464509739187851,92.27355490525564
46,hgnn_trial46_h512_hd256_nl2_ah2_lr1.32e-03_wd5.85e-05_dr30,512,256,2,2,0.0013170256885255104,5.84512525726253e-05,0.3,0.8970976253298153,0.2820183716738494,0.819873631875151,0.9019517831426179,0.8277649389237373,0.8592415689680127,0.7839551006932981,55.63876279592514
6,hgnn_trial06_h256_hd64_nl2_ah4_lr1.05e-03_wd2.53e-04_dr10,256,64,2,4,0.0010485387725194617,0.0002526878207508457,0.1,0.8886946386946387,0.28716873299307455,0.8025874125874126,0.8910983765277241,0.8136018487949819,0.852991452991453,0.7578078573786728,15.692705301443736
12,hgnn_trial12_h128_hd128_nl3_ah2_lr1.96e-03_wd8.08e-06_dr30,128,128,3,2,0.001959497205867916,8.082071885709262e-06,0.3,0.8865680301711634,0.29426064465669505,0.7965509047085583,0.881290847438119,0.8021459227467811,0.8197316936836221,0.7746450973918785,25.338888792196908
2,hgnn_trial02_h128_hd32_nl1_ah8_lr5.40e-03_wd3.04e-05_dr10,128,32,1,8,0.00539503096667023,3.040532539286567e-05,0.1,0.8855278766310795,0.2891054451991685,0.8342631414809938,0.9177543305655106,0.8420931000330142,0.8777891206066794,0.7948497854077253,8.0040425380071
