index,name
0,Women's Fashion
1,Clothing
2,Pants
3,Balmain pants
4,Shorts
5,Shoes
6,Sandals
7,Christian Louboutin sandals
8,Outerwear
9,Coats
10,Tops
11,Sweaters
12,Sneakers
13,Converse sneakers
14,Pumps
15,Charlotte Olympia pumps
16,Boots
17,Ankle Booties
18,Leggings
19,Jimmy Choo sandals
20,Jeans
21,Skinny Jeans
22,Prada sandals
23,Oxfords
24,Boohoo tops
25,Skirts
26,Mini Skirts
27,Blouses
28,Flats
29,Jimmy Choo flats
30,H&M tops
31,Tank Tops
32,T-Shirts
33,Ancient Greek Sandals sandals
34,Knee Length Skirts
35,Casadei pumps
36,adidas Originals sneakers
37,New Balance sneakers
38,Gucci sweaters
39,Giuseppe Zanotti ankle booties
40,H&M shorts
41,Men's Fashion
42,Men's Shirts
43,Chicwish skirts
44,Zara sandals
45,Topshop sweaters
46,Activewear
47,Activewear Pants
48,Dolce&Gabbana tops
49,Sweatshirts & Hoodies
50,Sweatshirts
51,Alexander Wang sandals
52,H&M sweaters
53,Bootcut Jeans
54,J Brand jeans
55,Keds sneakers
56,Boyfriend Jeans
57,Flared Jeans
58,Straight Leg Jeans
59,Topshop mini skirts
60,Chloé ankle booties
61,Christian Louboutin pumps
62,Monki t-shirts
63,Swimwear
64,Bikinis
65,Burberry ankle booties
66,Hoodies
67,Gucci sandals
68,Citizens of Humanity jeans
69,Long Skirts
70,Sophia Webster sandals
71,Capri & Cropped Pants
72,Vests
73,Cardigans
74,Activewear Shorts
75,NIKE activewear shorts
76,Jimmy Choo pumps
77,adidas sneakers
78,MANGO sweaters
79,Aquazzura pumps
80,Intimates
81,Sleepwear
82,Pajamas
83,Gucci pumps
84,MANGO tops
85,Dolce&Gabbana sandals
86,Flip Flops
87,Jeffrey Campbell ankle booties
88,NIKE activewear pants
89,Topshop skirts
90,Balmain jeans
91,Chicwish tops
92,Vans sneakers
93,Knee High Boots
94,Hunter boots
95,Topshop tops
96,J.Crew shorts
97,Gianvito Rossi sandals
98,Yves Saint Laurent ankle booties
99,Valentino pumps
100,Topshop t-shirts
101,Levi's shorts
102,Christian Louboutin ankle booties
103,River Island tops
104,Gianvito Rossi ankle booties
105,WearAll tops
106,True Religion jeans
107,NIKE sneakers
108,Givenchy sandals
109,Loafers & Moccasins
110,Bikini Bottoms
111,Tory Burch sandals
112,Monki tops
113,Bikini Tops
114,Dolce&Gabbana pumps
115,Sports Bras
116,NIKE sports bras
117,Giuseppe Zanotti sandals
118,Havaianas flip flops
119,MANGO t-shirts
120,River Island shorts
121,Dr. Martens ankle booties
122,NIKE shoes
123,Gianvito Rossi pumps
124,Kate Spade sandals
125,Aquazzura sandals
126,Manolo Blahnik pumps
127,Topshop jeans
128,Levi's jeans
129,Valentino flats
130,J.Crew tops
131,Frame jeans
132,Valentino ankle booties
133,7 For All Mankind jeans
134,Birkenstock sandals
135,Jackets
136,Billabong sandals
137,Miss Selfridge skirts
138,Steve Madden sandals
139,Stuart Weitzman sandals
140,Alexandre Birman sandals
141,Over-The-Knee Boots
142,Valentino sandals
143,Puma sneakers
144,Men's Clothing
145,Men's Jeans
146,Soludos sandals
147,Yves Saint Laurent sandals
148,Topshop ankle booties
149,H&M blouses
150,Miss Selfridge tops
151,Acne Studios ankle booties
152,Steve Madden ankle booties
153,Tunics
154,T By Alexander Wang tops
155,River Island jeans
156,Alexander Wang tops
157,Dolce&Gabbana skirts
158,Giuseppe Zanotti pumps
159,Yves Saint Laurent pumps
160,Casadei sandals
161,Boohoo shorts
162,Schutz sandals
163,Current/Elliott jeans
164,Jimmy Choo ankle booties
165,River Island mini skirts
166,Gucci skirts
167,Chloé blouses
168,Paige Denim jeans
169,J.Crew sweaters
170,Miu Miu sandals
171,Mid Calf Boots
172,ASOS sandals
173,River Island skirts
174,Topshop pants
175,Topshop shorts
176,Acne Studios sweaters
177,MANGO blouses
178,Athletic Shoes
179,Alice + Olivia tops
180,Chloé sandals
181,Dr. Martens boots
182,Balenciaga ankle booties
183,T By Alexander Wang t-shirts
184,Marni sandals
185,Abercrombie & Fitch jeans
186,NIKE athletic shoes
187,Valentino skirts
188,WithChic skirts
189,Miu Miu pumps
190,AG Adriano Goldschmied jeans
191,Topshop sandals
192,Charlotte Olympia sandals
193,Dresses
194,Day Dresses
195,TIBI tops
196,Dsquared2 sandals
197,STELLA McCARTNEY pants
198,rag & bone jeans
199,Wide Leg Jeans
200,Robes
201,Zara pumps
202,Men's Shoes
203,Men's Sneakers
204,MSGM skirts
205,Balmain mini skirts
206,STELLA McCARTNEY jeans
207,Giuseppe Zanotti sneakers
208,Yves Saint Laurent jeans
209,Sergio Rossi pumps
