experiment,test_loss,main_f1_micro,main_f1_macro,main_f1_weighted,main_auc,main_precision,main_recall,main_hamming_loss,main_subset_acc,sub_f1_micro,sub_f1_macro,sub_f1_weighted,sub_auc,sub_precision,sub_recall,sub_hamming_loss,sub_subset_acc,category_f1_micro,category_f1_macro,category_f1_weighted,category_auc,category_precision,category_recall,category_hamming_loss,category_subset_acc,related_f1_micro,related_f1_macro,related_f1_weighted,related_auc,related_precision,related_recall,related_hamming_loss,related_subset_acc
vV1_hd512_dr20_adamw_lr1e-3_wd1e-4_lossunw,0.0346,0.9695,0.9563,0.9692,0.9968,0.9749,0.9642,0.0058,0.9597,0.835,0.4123,0.8181,0.9854,0.8786,0.7955,0.0039,0.7406,0.6937,0.1573,0.658,0.9929,0.7626,0.6362,0.0026,0.7247,0.2013,0.105,0.1424,0.9865,0.5664,0.1224,0.0024,0.7195
vV1_hd512_dr20_adamw_lr1e-3_wd1e-4_losswei,0.1556,0.9558,0.9354,0.9571,0.9966,0.9317,0.9812,0.0087,0.9365,0.671,0.441,0.7404,0.9903,0.5133,0.9684,0.0118,0.3591,0.4601,0.205,0.6113,0.9956,0.3005,0.9813,0.0108,0.475,0.1347,0.1507,0.1937,0.9884,0.0725,0.9565,0.0305,0.5206
vV1_hd512_dr20_adamw_lr5e-4_wd1e-4_losswei,0.1395,0.9599,0.9421,0.9607,0.9964,0.9403,0.9802,0.0079,0.9408,0.6829,0.4459,0.7468,0.9895,0.5281,0.9661,0.0111,0.3798,0.4695,0.2181,0.602,0.9958,0.3085,0.9814,0.0104,0.4643,0.1392,0.1555,0.198,0.9886,0.0751,0.9515,0.0292,0.5061
vV2_hd512_dr25_adamw_lr5e-4_wd1e-4_losswei,0.1651,0.9613,0.9435,0.9622,0.9963,0.9427,0.9807,0.0076,0.9457,0.6653,0.4309,0.7419,0.9896,0.5062,0.9703,0.0121,0.338,0.4361,0.192,0.6067,0.9954,0.2802,0.9832,0.0119,0.4569,0.114,0.131,0.1759,0.9879,0.0606,0.9652,0.0372,0.5245
vV2_hd768_dr30_adamw_lr5e-4_wd1e-4_losswei,0.1635,0.9622,0.9447,0.963,0.9963,0.9444,0.9807,0.0074,0.9482,0.676,0.4423,0.7466,0.9901,0.5191,0.9689,0.0115,0.362,0.4701,0.2113,0.6233,0.9959,0.3092,0.9795,0.0103,0.482,0.1278,0.1434,0.1882,0.9881,0.0685,0.9573,0.0324,0.5373
vV3_hd512_dr20_adamw_lr1e-3_wd1e-4_losswei,0.1652,0.9563,0.9357,0.9576,0.9965,0.9324,0.9815,0.0086,0.9375,0.6715,0.4386,0.7402,0.9908,0.5138,0.9692,0.0117,0.3635,0.4301,0.1914,0.5905,0.9954,0.2751,0.9852,0.0122,0.4525,0.1104,0.1278,0.1728,0.9872,0.0586,0.9647,0.0386,0.5068
vV3_hd768_dr25_adamw_lr1e-3_wd5e-5_losswei,0.1519,0.9589,0.9399,0.9599,0.9964,0.9382,0.9806,0.0081,0.9418,0.6873,0.4545,0.7498,0.9881,0.5332,0.9667,0.0109,0.3916,0.4179,0.1869,0.5776,0.995,0.2653,0.9845,0.0128,0.4441,0.1087,0.1273,0.1723,0.9872,0.0576,0.9659,0.0393,0.4964
vV4_hd512_dr25_adamw_lr1e-3_wd1e-4_lossunw,0.0349,0.9696,0.9564,0.9694,0.9967,0.9731,0.9661,0.0058,0.961,0.8381,0.4427,0.8218,0.9845,0.8775,0.8021,0.0038,0.7464,0.7261,0.2241,0.6965,0.994,0.7372,0.7153,0.0025,0.7374,0.2294,0.1276,0.1663,0.9871,0.5809,0.1429,0.0024,0.7191
vV4_hd512_dr25_adamw_lr1e-3_wd1e-4_losswei,0.1593,0.9595,0.9425,0.9604,0.9961,0.9392,0.9807,0.008,0.9382,0.6915,0.4691,0.7543,0.9844,0.5392,0.9639,0.0106,0.391,0.3928,0.1697,0.5926,0.9947,0.2453,0.9849,0.0142,0.4507,0.1084,0.1269,0.1716,0.9871,0.0574,0.9646,0.0394,0.5241
vV4_hd768_dr30_adamw_lr1e-3_wd5e-5_losswei,0.1605,0.9586,0.9406,0.9596,0.9954,0.9367,0.9815,0.0082,0.9369,0.6912,0.4641,0.7544,0.9814,0.5386,0.9642,0.0107,0.3886,0.471,0.2005,0.6491,0.9947,0.3113,0.9674,0.0102,0.5273,0.1297,0.146,0.1929,0.9874,0.0696,0.9515,0.0317,0.5614
