index,name
0,dress
1,gown
2,skirt
3,long skirt
4,sweater
5,sleeveless top
6,shirt
7,top
8,tunic
9,blouse
10,long-sleeve shirt
11,cardigan
12,turtleneck sweater
13,male t-shirt
14,tshirt
15,jacket/coat
16,trench coat
17,coat
18,blazer
19,jacket
20,parka
21,vest
22,jeans
23,pants
24,pant
25,shorts
26,set/suit
27,swimsuit bottom
28,backpack
29,tote
30,purse
31,handbag
32,bag
33,clutch
34,flat sandals
35,closed shoes
36,heels
37,boots
38,pump
39,sandals
40,flats
41,flip-flops
42,sneakers
43,slippers
44,gloves
45,scarf
46,belt
47,straw hat
48,baseball cap
49,beanie
50,hat
51,winter hat
52,tie
53,sunglasses
54,headband
55,umbrella
56,watch
57,necklace
58,earrings
59,ring
60,stockings
61,socks
62,tank
63,bracelet
64,pendant
65,pouch
66,jumpsuit
67,romper
68,lingerie top
69,lingerie bottom
70,pyjama/slip/chemise
71,pyjama pants
72,kimono
73,hosiery
74,sports long-sleeve shirt
75,sweatpants
76,tennis skirt
77,track jacket
78,sports bra
79,basket bag
80,satchel
81,booties
82,flat boots
83,heeled boots
84,over-the-knee boots
85,platform shoes
86,suspenders
87,activity wristband
88,male shirt
89,male sweater
90,male suit jacket
91,male jeans
92,male suit pants
93,male knee-length shorts
94,male suit
95,male swim shorts
96,male boxers
97,male sweatpants
98,male sports shirt/track suit
99,male sports shirt
100,male track pants
101,male sports shorts
102,male track jacket
103,messenger bag
104,male shoes
105,male flip-flops
106,male loafers
107,male formal shoes
108,male sneakers
109,male accessories
110,male belt
111,male gloves
112,male scarves
113,male baseball caps
114,male sunglasses
115,male watch
116,male suspenders
117,cufflings
118,tank top
119,bodie
120,male polos
121,swimsuit
122,one-piece swimsuit
123,coverup
124,male formal jacket
125,male jacket
126,male vest
127,male pants
128,male socks
129,travel bag
130,laptop bag
131,wallet
132,male slippers
133,brooch
134,key chain
135,money clip
136,bowtie
137,smartphone cases/tech items
138,sweathirt
139,hoodie
140,swimsuit top
